Province,ProvinceCode,County,CountyCode,Warm0Cold1,Dry0Semi05Wet1,Literatcy1HS2above,LongitudeDegree,LatitudeDegree,source1well2surface,network1traditional2modern,ECwatirrig_dsm,croparea_ha,SoilTexture1Light2Normal3Heavy,SoilSalinitydSm,variety1chaI2chamII3Pish4SirMih5Oth,plant_date,harvest_date,GrowthLength150200_123,Irrig1surf2sprinkl3drip,irrig_depth_avg,number_of_irrig,water_vol_m3ha,effective_rain_fao_currentyear_mm,effective_rain_10year_fao075p_mm,WatNeedNationalBook_mm,WaterNeedBookmm,Et_clim_data_this_year_mm,ET_clim_10year_mm,leeching_need_percent,yield_kgha,water_efficiency_kgm3,efficiency_irrig_effectiveraincurrentyear_kgm3,efficiency_irrig_effectiverain10year_kgm3
Fars,4,Lamerd,18,0,0.5,2,53.09941069,27.37597625,2,2,6.6,15.0,3,4.69,1,95/8/10,96/1/28,2,3,667,5,3337,255,166,,,,694,16,3500,1.0,0.6,0.7
Fars,4,Khonj,19,0,0.5,1,53.28379266,28.04788594,2,2,4.0,2.7,1,0.86,1,95/8/25,96/2/13,2,3,953,5,4767,264,168,467,525,,652,10,4973,1.0,0.7,0.8
Fars,4,Khonj,19,0,0.5,1,53.14324161,28.18605372,2,2,4.4,7.9,1,3.148,1,95/8/20,96/2/15,2,3,675,6,4050,264,168,467,525,,652,11,5210,1.3,0.8,0.9
Fars,4,Khonj,19,0,0.5,1,53.151013,28.17203566,2,2,5.8,2.0,2,1.87,1,95/8/25,96/1/28,2,1,126,5,8092,264,168,467,525,,652,18,5990,0.7,0.6,0.6
Fars,4,Khonj,19,0,0.5,1,53.14835808,28.16050124,2,2,4.2,3.5,2,1.87,1,95/8/24,96/2/15,2,1,114,5,7331,264,168,467,525,,652,13,6580,0.9,0.7,0.7
Fars,4,Lamerd,18,0,0.5,1,52.9289449,27.66804954,2,2,7.8,2.0,1,2.15,4,95/8/28,96/2/7,2,1,114,4,6188,255,166,,,,694,27,3800,0.6,0.4,0.5
Fars,4,Lamerd,18,0,0.5,2,53.09941069,27.37597625,2,2,6.5,10.0,3,4.4,4,95/8/20,96/1/28,2,1,136,5,6818,255,166,,,,694,21,3015,0.4,0.3,0.4
Fars,4,Khonj,19,0,0.5,1,53.28856955,28.04948849,2,2,4.0,3.0,3,1.74,4,95/8/18,96/2/13,2,1,140,5,6982,264,168,467,525,,652,12,5230,0.7,0.5,0.6
Fars,4,Fasa,20,0.5,0.5,2,53.76805556,28.76546838,2,2,7.2,32.0,3,4.39,1,1395/8/27,1396/3/12,2,3,744,8,5950,324,228,457,707,,786,18,6715,1.1,0.7,0.8
Fars,4,FirouzAbad,21,0.5,0.5,2,52.53581009,28.85988872,2,2,0.8,4.5,2,0.89,4,1395/8/20,1396/3/25,3,3,1296,5,6480,343,311,445,718,,755,2,7570,1.2,0.8,0.8
Fars,4,FirouzAbad,21,0.5,0.5,1,52.53581009,28.85988872,2,2,0.9,1.4,2,0.89,4,1395/8/20,1396/3/25,3,3,581,7,4067,343,311,445,718,,755,2,6520,1.6,0.9,0.9
Fars,4,FirouzAbad,21,0.5,0.5,1,52.52815161,28.86213683,2,2,0.8,0.4,3,0.89,4,1395/8/20,1396/3/25,3,3,585,7,4098,343,311,445,718,,755,2,7050,1.7,0.9,1.0
Fars,4,Lamerd,18,0.5,0.5,1,53.373604,27.252644,2,2,10.5,3.0,2,2.61,1,95/8/25,96/1/28,2,1,126,4,6832,255,166,,,,694,39,3200,0.5,0.3,0.4
Fars,4,Fasa,20,0.5,0.5,2,53.76805556,28.76546838,2,2,6.5,50.0,3,3.98,4,95/8/25,1396/3/12,2,1,160,5,7992,324,228,457,707,,786,21,5150,0.6,0.5,0.5
Fars,4,FirouzAbad,21,0.5,0.5,1,52.53360123,28.86086423,2,2,0.8,3.2,2,0.77,4,95/8/20,1396/3/25,3,1,114,6,6818,343,311,445,718,,755,2,6200,0.9,0.6,0.6
Fars,4,FirouzAbad,21,0.5,0.5,1,52.52815161,28.86213683,2,2,0.8,5.0,3,0.79,4,95/8/20,1396/3/25,3,1,132,6,7918,343,311,445,718,,755,2,6700,0.8,0.6,0.6
Fars,4,Darab,22,0.5,0,1,54.52,28.75,2,1,0.4,3.0,2,2.9,4,95/9/28,96/2/30,2,1,140,4,5580,332,235,555,621,,659,1,4000,0.7,0.4,0.5
Fars,4,Darab,22,0.5,0,1,54.29,28.77,2,2,0.7,2.0,2,0.8,4,95/10/1,96/2/30,2,3,120,4,4806,332,235,555,621,,659,2,5000,1.0,0.6,0.7
Fars,4,Darab,22,0.5,0,1,54.5,28.76,2,1,0.5,7.0,3,2.9,4,95/9/10,96/2/28,2,1,87,6,5243,332,235,555,621,,659,1,4500,0.9,0.5,0.6
Fars,4,Darab,22,0.5,0,1,54.46,28.73,2,1,1.0,7.0,2,2.42,5,95/8/18,96/2/28,2,1,116,5,5777,332,235,555,621,,659,3,5500,1.0,0.6,0.7
